Benchmark,Examples,Program,Time,Ite
string/43606446.sl,4, (define-fun f ((_arg_0 String)) String (str.++ (str.at _arg_0 (- -1 (+ 1 (- 1 (str.indexof _arg_0 ">" 1))))) (str.++ (str.at _arg_0 (- -1 (- 1 (str.indexof _arg_0 ">" 1)))) (str.at _arg_0 (+ -1 (str.indexof _arg_0 ">" 1)))))),241.115,0
string/44789427.sl,4, (define-fun f ((_arg_0 String) (_arg_1 Int)) String (str.++ (str.substr _arg_0 (- _arg_1 2) _arg_1) (ite (= _arg_1 1) (str.substr _arg_0 0 (str.indexof _arg_0 "-" _arg_1)) (ite (str.prefixof (str.at _arg_0 _arg_1) _arg_0) (str.++ (str.at _arg_0 _arg_1) (str.++ (str.from_int (+ 1 (str.indexof _arg_0 "-" _arg_1))) (str.substr _arg_0 1 (+ _arg_1 1)))) (str.++ (str.substr _arg_0 _arg_1 _arg_1) (str.++ (str.from_int (- (str.indexof _arg_0 "-" _arg_1) _arg_1)) (str.++ (str.at _arg_0 2) (str.++ (str.from_int 2) (str.++ (str.from_int (- _arg_1 2)) (str.substr _arg_0 (+ _arg_1 1) _arg_1)))))))))),4.557,2
string/clean-and-reformat-telephone-numbers.sl,3, (define-fun f ((_arg_0 String)) String (ite (str.contains _arg_0 (str.from_int 1)) (str.replace (str.replace _arg_0 "-" "") "-" "") (ite (str.contains _arg_0 "-") (str.++ (str.substr _arg_0 1 (+ 1 1)) (str.++ (str.from_int (+ -1 (str.indexof _arg_0 "-" 1))) (str.++ (str.from_int (+ 1 (str.indexof _arg_0 " " 1))) (str.++ (str.from_int (str.indexof _arg_0 " " 1)) (str.++ (str.from_int (str.indexof _arg_0 ">" 1)) (str.++ (str.from_int 0) (str.++ (str.from_int (- 1 (str.indexof _arg_0 "." 1))) (str.++ (str.at (str.replace _arg_0 "<" "") 0) (str.at _arg_0 1))))))))) (str.replace (str.replace _arg_0 "." "") "." "")))),44.691,2
string/count-total-words-in-a-cell.sl,3, (define-fun f ((_arg_0 String)) Int (ite (str.contains (str.replace _arg_0 " " "") " ") (ite (str.contains (str.replace _arg_0 " " "") (str.substr _arg_0 1 (str.indexof _arg_0 " " 1))) (str.indexof _arg_0 " " 1) (- -1 (- 1 (str.indexof _arg_0 " " 1)))) (+ 1 1))),3.680,2
string/exceljet1.sl,3, (define-fun f ((_arg_0 String) (_arg_1 String)) String (ite (str.suffixof (str.at _arg_0 1) _arg_1) (str.substr _arg_1 (str.indexof _arg_0 " " 1) (str.len _arg_1)) (str.++ (str.at _arg_1 (+ 1 (str.indexof _arg_1 "_" 1))) (ite (= 1 (str.indexof _arg_0 (str.at _arg_1 1) 1)) (str.++ (str.at _arg_1 (+ 1 (+ 1 (str.len _arg_0)))) (str.++ (str.at (str.replace _arg_1 "_" _arg_1) (str.len _arg_1)) (str.++ (str.at (str.replace _arg_0 " " _arg_1) (str.indexof _arg_1 "_" 1)) (str.++ (str.at _arg_1 (+ 1 (+ 1 1))) (str.++ (str.at (str.replace _arg_0 " " _arg_1) (str.len _arg_1)) (str.++ (str.at _arg_0 (- -1 (- 1 (str.indexof _arg_1 "_" 1)))) (str.at _arg_1 (+ -1 (str.len _arg_1))))))))) (str.++ (str.at (str.replace _arg_1 "_" " ") (str.len _arg_0)) (str.substr _arg_1 (str.len _arg_0) (str.len _arg_0))))))),185.587,2
string/exceljet2.sl,3, (define-fun f ((_arg_0 String)) String (str.++ (str.++ (ite (str.prefixof "." (str.at (str.replace _arg_0 "." _arg_0) (str.len _arg_0))) (ite (str.prefixof (str.at _arg_0 1) _arg_0) "" (str.at _arg_0 (+ 1 (str.indexof _arg_0 "." 1)))) (str.at (str.replace _arg_0 "." _arg_0) (str.len _arg_0))) (str.at _arg_0 (- -1 (- 1 (str.len _arg_0))))) (str.at _arg_0 (+ -1 (str.len _arg_0))))),35.890,2
string/exceljet3.sl,4, (define-fun f ((_arg_0 String)) String (str.++ (str.++ (str.++ (ite (= -1 (str.indexof _arg_0 (str.from_int (+ 1 1)) 1)) (ite (str.suffixof " " (str.at (str.replace _arg_0 " " _arg_0) (str.len _arg_0))) (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.at _arg_0 1) (str.at _arg_0 (+ 1 (+ 1 (str.indexof _arg_0 " " 1))))) (str.at _arg_0 (+ -1 (str.indexof (str.replace _arg_0 "=" _arg_0) "=" 1)))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" _arg_0) "=" 1))) (str.at _arg_0 (+ -1 (str.indexof (str.replace _arg_0 " " _arg_0) " " 1)))) (str.at _arg_0 (+ 1 (str.indexof (str.replace _arg_0 "=" _arg_0) " " 1)))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" "") " " (str.indexof _arg_0 " " 1)))) (str.replace (str.replace _arg_0 (str.from_int 1) _arg_0) _arg_0 " ")) (str.at (str.replace _arg_0 "=" _arg_0) (str.len _arg_0))) (str.at _arg_0 (+ (str.indexof _arg_0 " " 1) (str.indexof _arg_0 "=" 1)))) (str.at _arg_0 (str.indexof (str.replace _arg_0 " " (str.replace _arg_0 "=" _arg_0)) " " 1))) (str.++ (str.++ (str.++ (str.at _arg_0 (+ 1 (str.indexof _arg_0 " " 1))) (str.at (str.replace _arg_0 " " _arg_0) (str.len _arg_0))) (str.at (str.replace _arg_0 "=" _arg_0) (str.len _arg_0))) (str.at (str.replace _arg_0 "=" _arg_0) (str.indexof _arg_0 " " 1)))) (ite (str.contains _arg_0 (str.from_int 1)) (str.from_int (+ 1 1)) (str.++ (str.from_int (+ 1 (str.indexof (str.replace _arg_0 "=" _arg_0) "=" 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 " " _arg_0) "=" 1))))) (str.at _arg_0 (str.indexof _arg_0 (str.from_int 0) 1))) (str.at _arg_0 (- -1 (- 1 (str.len _arg_0))))) (str.at _arg_0 (+ -1 (str.len _arg_0))))),70.294,3
string/exceljet4.sl,4, (define-fun f ((_arg_0 String)) String (str.++ (str.++ (str.++ (ite (str.contains (str.from_int (str.len _arg_0)) (str.from_int 1)) (str.++ (ite (str.suffixof (str.from_int 1) (str.from_int (str.len _arg_0))) (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.at _arg_0 (+ -1 (str.len _arg_0))) (str.at _arg_0 (+ -1 (str.indexof (str.replace _arg_0 "=" _arg_0) "=" 1)))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "/" (str.replace _arg_0 "/" _arg_0)) "/" 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" _arg_0) "/" 1))) (str.at (str.replace _arg_0 "/" _arg_0) (+ -1 (str.len _arg_0)))) (str.at _arg_0 (+ 1 (+ 1 (+ 1 1))))) (str.at (str.replace _arg_0 "/" _arg_0) (+ -1 (str.len _arg_0)))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" (str.replace _arg_0 "=" _arg_0)) "=" 1))) (str.at _arg_0 (- 1 (str.indexof _arg_0 (str.from_int 1) 1)))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" (str.replace _arg_0 "/" _arg_0)) "/" 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" _arg_0) "=" 1))) (str.++ (str.++ (str.++ (str.from_int (+ 1 (str.indexof _arg_0 (str.from_int 0) 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" _arg_0) "/" 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" (str.replace _arg_0 "=" _arg_0)) "=" 1))) (str.at _arg_0 (str.indexof _arg_0 (str.from_int 0) 1)))) (str.at _arg_0 (+ -1 (str.indexof _arg_0 (str.from_int 0) 1)))) (ite (str.contains _arg_0 (str.++ (str.at _arg_0 1) "/")) (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" _arg_0) "/" 1)) (str.at _arg_0 (+ -1 (str.indexof (str.replace _arg_0 "=" _arg_0) "=" 1)))) (str.at (str.replace _arg_0 "/" _arg_0) (+ -1 (str.len _arg_0)))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "/" (str.replace _arg_0 "/" _arg_0)) "/" 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "/" _arg_0) "/" 1))) (str.at _arg_0 (+ 1 (str.indexof (str.replace _arg_0 "/" _arg_0) "/" 1)))) (str.at _arg_0 (+ 1 (+ 1 (str.indexof _arg_0 "/" 1))))) (str.at _arg_0 (+ 1 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" (str.replace _arg_0 "=" _arg_0)) "/" 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" (str.replace _arg_0 "/" _arg_0)) "/" 1))) (str.at _arg_0 (+ 1 (+ 1 (str.indexof _arg_0 "/" 1))))) (str.at _arg_0 1)) (str.replace (str.replace _arg_0 (str.from_int 0) "") _arg_0 "/")) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" _arg_0) "=" 1))) (str.at (str.replace _arg_0 "=" _arg_0) (+ 1 (str.len _arg_0)))) (str.at _arg_0 (str.indexof _arg_0 (str.at _arg_0 1) (+ 1 1)))) (str.at (str.replace _arg_0 "/" _arg_0) (str.len _arg_0))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "/" _arg_0) "/" 1))) (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.++ (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" _arg_0) "=" 1)) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" _arg_0) "/" 1))) (str.at _arg_0 (+ -1 (str.len _arg_0)))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" (str.replace _arg_0 "/" _arg_0)) "/" 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" (str.replace _arg_0 "=" _arg_0)) "/" 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" (str.replace _arg_0 "=" _arg_0)) "=" 1))) (str.at (str.replace _arg_0 "/" _arg_0) (+ -1 (str.len _arg_0)))) (str.at (str.replace _arg_0 "=" (str.replace _arg_0 "/" _arg_0)) (str.len _arg_0))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "=" (str.replace _arg_0 "/" _arg_0)) "/" 1))) (str.at _arg_0 (str.indexof (str.replace _arg_0 "/" (str.replace _arg_0 "/" _arg_0)) "/" 1))) (str.at (str.replace _arg_0 "/" _arg_0) (str.len _arg_0))) (str.at (str.replace _arg_0 "=" _arg_0) (str.len _arg_0))))) (str.at _arg_0 (str.indexof _arg_0 (str.from_int 0) 1))) (str.at _arg_0 (- -1 (- 1 (str.len _arg_0))))) (str.at _arg_0 (+ -1 (str.len _arg_0))))),111.984,3
string/extract-nth-word-from-text-string.sl,4, (define-fun f ((_arg_0 String) (_arg_1 Int)) String (ite (str.contains (str.substr _arg_0 1 _arg_1) " ") (ite (= _arg_1 (str.indexof _arg_0 " " _arg_1)) (str.++ (str.at _arg_0 (+ _arg_1 (+ _arg_1 (+ 1 1)))) (str.at _arg_0 1)) (str.++ (str.++ (str.++ (str.substr _arg_0 (+ _arg_1 1) (+ 1 1)) (str.substr _arg_0 (str.indexof _arg_0 (str.at _arg_0 0) _arg_1) _arg_1)) (str.at _arg_0 (str.indexof (str.replace _arg_0 " " _arg_0) " " _arg_1))) (str.at _arg_0 (- -1 (- 1 (str.len _arg_0)))))) (ite (= _arg_1 1) (str.substr _arg_0 0 (str.indexof _arg_0 " " _arg_1)) (str.substr _arg_0 (+ _arg_1 _arg_1) (+ _arg_1 1))))),113.501,3
string/extract-text-between-parentheses.sl,3, (define-fun f ((_arg_0 String)) Int (str.to_int (str.substr _arg_0 (str.indexof (str.++ " " _arg_0) "<" 1) (+ 1 1)))),463.444,0
